,Hidrocarburos líquidos (produccion),Petróleo crudo (produccion),Condensados y líquidos del gas (produccion),Gas natural  (MMpcd) (produccion),Petrolíferos y gas licuado (1) (produccion),Petroquímicos (Mt) (2) (produccion),Naftas (Mt) (produccion),Proceso de crudo (produccion),Petrolíferos y gas licuado (volumen-ventas int),Gas licuado (3) (volumen-ventas int),Gasolinas automotrices (volumen-ventas int),Pemex Magna (volumen-ventas int),Pemex Premium (volumen-ventas int),Turbosina (volumen-ventas int),Diesel (volumen-ventas int),Combustóleo (volumen-ventas int),Otros (4) (volumen-ventas int),Gas natural (Mmpcd) (volumen-ventas int),Petroquímicos (Mt) (volumen-ventas int),Complejos Petroquímicos (5) (volumen-ventas int),Sistema Nacional de Refinación (volumen-ventas int),Complejos Procesadores de Gas (6) (volumen-ventas int),Petrolíferos y gas licuado (MM$),Gas licuado (3) (MM$),Gasolinas automotrices (MM$),Pemex Magna (MM$),Pemex Premium (MM$),Turbosina (MM$),Diesel (MM$),Combustóleo  (MM$),Otros (4)  (MM$),Gas natural  (MM$),Petroquímicos  (MM$),Complejos Petroquímicos (5)  (MM$),Sistema Nacional de Refinación  (MM$),Complejos Procesadores de Gas (6)  (MM$),Exportación neta de hidrocarburos líquidos (volumen),Exportación de petróleo crudo (volumen),Exportaciones Petrolíferos y gas licuado (volumen),Importaciones Petrolíferos y gas licuado (volumen),Exportación neta de gas natural (MMpcd) (volumen),Importaciones Petroquímicos (Mt) (volumen),Exportación de petróleo crudo (MMUS$),Exportaciones Petrolíferos y gas licuado (MMUS$),Importaciones Petrolíferos y gas licuado (MMUS$),Exportación neta de gas natural (Mmpcd) (MMUS$),Importaciones Petroquímicos (Mt) (MMUS$),Petróleo crudo (8) (US$/b),Maya US$/b,Combustóleo (alto azufre) (US$/b),Gas Licuado (US$/b),Gasolinas (US$/b),Gas natural (US$/MMBtu)
Petrolíferos y gas licuado (MM$),0.008059175450793809,0.02858324982728528,0.010255753615874648,0.02476712893183041,0.013080000217558478,0.031167359164953497,0.01793041226705618,0.01022420061899184,0.0735860896095769,0.14087277589234734,0.052343250835097214,0.06903948527599783,0.2164416251914264,0.34653275780700205,0.11632133209289784,0.03368999562034926,0.0821187530532735,0.02204926504473276,0.005211050943910914,0.005814442795466128,0.07202685834007262,0.023232480472831257,0.0,0.018715201082713642,0.9973887098101386,0.7819949855563251,0.28351532883636843,0.6572964007377313,1.0,0.07507953836922988,0.9773728988794983,0.07657614490085098,0.01048140788641368,0.011192473287584472,0.03725716284362455,0.09254444352747192,0.2875433328442873,0.03626703839812961,0.02250805748249496,0.0394888113805736,0.06062055590924337,0.042332446931065755,0.34635903459452455,0.061442937785304165,0.5302647849273731,0.04895407515004626,0.029375991522400575,0.1340624881563344,0.14078117440758664,0.14820517674376227,0.022953044383552532,0.37033184943412645,0.1566677782534589
Gas licuado (3) (MM$),0.00643804425603447,0.0206037583172626,0.024173404835786432,0.1202231331756873,0.013739693800534723,0.04436278570633059,0.04076202686534143,0.011662846929548484,0.011683530405808554,0.7751623460948375,0.007621361144895962,0.004672896285897356,0.13324935156575723,0.029166575881958826,0.026536482464087394,0.0224860880311189,0.21180059238944288,0.09458003337337166,0.012755598789744986,0.010765515195739447,0.11741869171417063,0.07497542070983514,0.020800404001865457,0.0,0.023912150374339605,0.017330456577081117,0.12689733490541,0.04082883520218589,0.03589990207793756,0.021469758773819344,0.06006710481089562,0.13175835867569324,0.04384296312708623,0.023781654754237956,0.40488869413994705,0.5934796373513608,0.0991751221939402,0.04880122819580749,0.024943438007651114,0.027030331382832142,0.020968870803125064,0.028580497156529133,0.11325588991632166,0.08076105902728531,0.025109040693107047,0.06801713163570425,0.02888938476510124,0.04589363690962732,0.05498354300425916,0.16830849012881324,1.0,0.023830501340509156,0.531241118335748
Gasolinas automotrices (MM$),0.00654391957345451,0.019316314082153833,0.008592057047861139,0.024222310212520717,0.011623218000427473,0.02829667494183713,0.018374241785219243,0.008323843850730487,0.0419225907174096,0.1798758669394794,0.03767518141174763,0.045703745109737806,0.17563606019884684,0.1602966740083558,0.05686397851386148,0.024091447825230188,0.08696901551669481,0.016876350984721043,0.006184404276203369,0.00761286508496041,0.07615956562624178,0.02662838641914027,1.0,0.015851578921751118,0.0,1.0,0.32641089174960547,0.30176422301727746,0.4438413894913494,0.06016761591795216,1.0,0.07902552248931145,0.009537417432507583,0.00913406966379857,0.03384552043316327,0.10805285539138992,0.19987685483211956,0.051550633780518614,0.019489125553489077,0.029268362381899726,0.048274210500927395,0.06293682089979775,0.37107544242478807,0.0801240561543813,0.3154815145506545,0.07197023033881134,0.0254360093487408,0.1297676754540051,0.1477445099049299,0.11644722779071363,0.016919666785374824,0.38063603412407926,0.11490972977686278
Pemex Magna (MM$),0.027132767016531147,0.06863383468280289,0.010046976496342185,0.03676165840698348,0.008943337932204691,0.029461433258561442,0.02048054555110123,0.006612136972271955,0.0595561430106577,0.19581862858047966,0.055006424025099046,0.0721713498783601,0.2862525234653267,0.3637640905066106,0.08103894272138139,0.03668762517971791,0.10894036467411816,0.02521703524304011,0.0067333495407655795,0.007541642051172374,0.07523912415682307,0.03485657233581694,0.782578426237347,0.013780858014241172,1.0,0.0,0.18554019830016888,0.4608375251798981,0.4143132773524394,0.06347905143486368,0.681840757459611,0.10110156524520665,0.017963369489407358,0.01621150138328944,0.036614714467718135,0.09606921929068045,0.22241284622761437,0.049129346729615754,0.01805197878007235,0.048015540024905316,0.07034130845072217,0.06653245956682713,0.6220545139732784,0.04666486410445081,0.4619922444467788,0.09225257434344394,0.025377445133454135,0.10391748086977788,0.1131388762362945,0.08878043016735472,0.010377253365218385,0.2659885024862521,0.16061836132445767
Pemex Premium (MM$),0.033596749053010466,0.025838357684584933,0.23285509186983433,0.23750857597251213,0.17276606089124216,0.11202061177314598,0.13385516607165965,0.15408880913070386,0.018110458846724634,0.14949653627307327,0.029020542188201347,0.019674752559474065,0.5095991648773712,0.0248099095348379,0.01628714295232936,0.012589291339488846,0.19926570039873093,0.060388931454583114,0.022512716531718095,0.017805465424610065,0.13681660290626674,0.16024313639581342,0.07034384586595321,0.05830964576970951,0.08333673848935688,0.04423814986670435,0.0,0.12033675632976382,0.03771819905077625,0.01635465077745402,0.2045685792601099,0.01929358148531287,0.006654435745219688,0.013261606714006582,0.03430783413610225,0.13906362476554707,0.11743351220494452,0.19371539742475638,0.15724622443966466,0.036104186509707474,0.0880590907514352,0.2010956802401194,0.1816479069105329,0.39404219901854926,0.06414828793250138,0.0181610860104962,0.08221672323134227,0.09135245291539598,0.0894753594045272,0.10829896619319146,0.0966747172746367,0.15977204790587982,0.03799257493035424
Turbosina (MM$),0.010738816645032314,0.01453519709457068,0.05775155032499667,0.029191504157646684,0.04397392912428358,0.04682605029366492,0.06910742085946145,0.07092270925637034,0.11622463500358092,0.31785667655451894,0.08695161548169401,0.11383203680406902,0.28184785359298997,1.0,0.04635131711434065,0.023035421268331517,0.19023557785369272,0.04306422829223514,0.010354177748111457,0.014413393931466189,0.11452799340565945,0.035857005445049224,0.4307230227729453,0.03267046018746118,0.3134636494656548,0.27391594379276657,0.6071873493488129,0.0,0.5165901761108849,0.02299861458388073,0.496632564997446,0.05714198675142267,0.008744123553726644,0.008204990095370988,0.03867223932742554,0.0518828311978682,0.4722514372354875,0.11741685999040608,0.055653998454103765,0.056411797797521444,0.5084555267864542,0.05858666848538688,0.17320082093322947,0.1922529436628285,0.2430936626284587,0.07176153011414768,0.2688779504727885,0.10645082891917453,0.08865830576777829,0.1075725532444975,0.016209550091347346,0.39306755626558876,0.2512695248935757
Diesel (MM$),0.014632286202863826,0.04529773296955594,0.014142207349681874,0.03472376110047833,0.010319703187047108,0.037904869956550846,0.015953299177841083,0.008719523933269767,0.31885621707179074,0.18751711857722866,0.21257564014517907,0.19804437950214285,0.24623329328964869,0.48013593143139405,0.7818814250183903,0.03547880414825023,0.0785877648707564,0.024224163250390365,0.005858758562270968,0.006336684787968586,0.07643540917795864,0.02323390036283738,0.8175562983719983,0.015587154554962629,0.4688966500422942,0.4511863277494879,0.1697814456664705,1.0,0.0,0.09431098863133104,0.6506145500532584,0.07016248075260907,0.008528089111451646,0.008650969620238246,0.03677754006696274,0.04956923928840464,0.5232357388029845,0.0772904651725298,0.02103027221716286,0.09831329320955032,0.0695604469600632,0.037200717421063886,0.2937219722027338,0.031006391163480727,1.0,0.06405017642201827,0.046890508204639796,0.06468107650565853,0.06565144589318717,0.05806528834602473,0.014161938148602142,0.277957507095214,0.2355885506078793
Combustóleo  (MM$),0.007824307098517344,0.007773927671665476,0.01329160074936007,0.025646302654394847,0.014071399575379208,0.07174242507648826,0.01950783247962523,0.010215431414736133,0.14601083071258686,0.37158228108593905,0.026187880225127944,0.021152286379608327,0.26375040302892006,0.020414602498843148,0.07978362459263555,1.0,0.07244822981123712,0.08043455087586292,0.017421893964510698,0.01489444120621067,0.13475856893928279,0.04411641185044552,0.025732318362391593,0.024241784423953777,0.0270492886097991,0.028637887265660755,0.027564241308254436,0.02249571339381964,0.027655480830032136,0.0,0.0945708201883969,0.037347412803395444,0.005833718552436295,0.005366359776447665,0.042533006882231314,0.036381286488979446,0.18412637652846536,0.08532021064661693,0.0451753869452561,0.06114874743258927,0.09553242025787911,0.052418649465330806,0.10432609531665737,0.031444923801393465,0.03681348340642282,0.043253581059860775,0.03443592123347818,0.020508073407402735,0.010376949385353156,0.0641705121890485,0.01187399317593263,0.019149843787301835,0.06788404269688908
Otros (4)  (MM$),0.0100722961373105,0.01705867876985398,0.015034315043641389,0.028895097049377774,0.03494641821501539,0.03784595468990694,0.025946553755433827,0.02921495161690759,0.07750929957338398,0.16738504308281818,0.04967587021875532,0.04158494737935915,0.18004862306498542,0.0671298983106593,0.06903855908761364,0.023649622054142266,0.3542801007944688,0.019394764700428706,0.006254139792477672,0.007967854113553628,0.10771741537391191,0.05317345122396769,0.20585908777310394,0.010117476612330218,0.25771099031515143,0.13226655770067994,0.21452069911143418,0.13770987514260982,0.11130576225226925,0.047281265308824955,0.0,0.02475356028457455,0.003306997599356816,0.003737879389409163,0.03865697920032359,0.05401024601566465,0.36226203931691703,0.0386065438483325,0.04392527619565326,0.05264681955157533,0.035554647601361476,0.07877366665801822,0.06012996858789445,0.06688733111543113,0.09888729555730769,0.03462985301872768,0.05686581736171176,0.022245207120079324,0.023425184657120658,0.03440038116973663,0.012540354061153617,0.12738855649062053,0.04391174781534636
Gas natural  (MM$),0.02861071600737415,0.030068934426154402,0.008778615802195558,0.08607421349121898,0.01619172225038106,0.036547382248666105,0.016471832321304537,0.017341360833463836,0.008652074593964004,0.11989756871901891,0.015323663688032263,0.0108170237447215,0.09769825133919183,0.015151040346724265,0.06098078430135178,0.019466053287748683,0.723587396961414,0.07217491844850296,0.023545035629229775,0.017526179715269805,0.19047781061129845,0.04154585255304455,0.014741101675872384,0.22084090625893454,0.016546099445076578,0.023700096220439896,0.06882242310217529,0.01968520012328178,0.017813892768628155,0.012875194786668204,0.03549462070714838,0.0,0.355049598785629,0.19339773713669609,0.5060619247998285,0.12398763324940645,0.10381199529371767,0.14800931364180475,0.06895255305028399,0.06333618771050376,0.07681273391258571,0.03580261132094276,0.28279043538981585,0.05080387175053839,0.05722444592009254,1.0,0.03002423422444002,0.012656600480749998,0.012356050364382176,0.03158774205274907,0.0871946027235375,0.0580181148354643,1.0
Petroquímicos  (MM$),0.017613415107656318,0.016478972149580322,0.028210329575632062,0.07703692347076825,0.021130407631072917,0.10571347414270639,0.019293289714300065,0.011381035004226983,0.017361411752982895,0.1979396635321542,0.013963232046851197,0.017701055750951426,0.37986832952941835,0.02308291679767061,0.0175951576306735,0.05025063497365504,1.0,0.14119843311181574,0.24063178823125678,0.19349379260707683,0.21212382901182159,0.08223009018288352,0.004829047602521519,0.10282565610484212,0.007052378580223195,0.012020624409999008,0.03293232556964714,0.020139119805459446,0.007708969307502536,0.03242192894561277,0.031488558814159996,0.4300664482612805,0.0,1.0,0.41384266254548185,0.053850301696539496,0.09581742398106251,0.7209048063729068,0.021788024356645157,0.0746819950750756,0.07515618545243759,0.18398216630103528,0.26515620818996016,0.019221848724804685,0.013764100832603317,0.2707204797576574,0.046482377107130726,0.01127910220603326,0.008660688283510723,0.02062515886246378,0.030923137762673678,0.021068761828714446,0.2348327807370632
Complejos Petroquímicos (5)  (MM$),0.024252985674783737,0.01699471123106269,0.031584491566972316,0.13352623620652868,0.021428468563919032,0.1109407500369557,0.021225698620004906,0.012139462795464335,0.012573161289636921,0.2922983576981358,0.011728907110764436,0.014206665121380508,0.3223845783943805,0.015500819639158465,0.014610824231668203,0.04314336962833206,0.9625716617963662,0.15741843635926983,0.37109715286224826,0.31159242242496465,0.14112470243378458,0.06586584102700771,0.00494341421805963,0.046628964477566745,0.00574034317893573,0.01413833873817752,0.05164469306654746,0.01969684846647093,0.006535679926213386,0.041142075509696105,0.03310510480929472,0.3004546351374019,1.0,0.0,0.10012795754639484,0.029452049653253768,0.07983759570050154,0.7619326544177764,0.024064071445460137,0.10584063603564335,0.08837205127350106,0.5039713843797382,0.14310619010053582,0.01853793212446666,0.014520869086933515,0.19282551586743657,0.05410459841647385,0.005971608974774221,0.004695579455121173,0.015035136397386763,0.013388546688991153,0.015079270934769417,0.17754774008197527
Sistema Nacional de Refinación  (MM$),0.013312325852671067,0.020837912445099856,0.010543144680032162,0.17569712601253168,0.011587560931497393,0.05233228751272895,0.013328930877369142,0.008888434869097031,0.017858040316510906,0.09860838648661634,0.010345970716308037,0.008577673329895775,0.06953688730524873,0.027617633873448434,0.03324488775088691,0.03874594422573826,0.22215300244610547,0.037151462510556184,0.01978450687314998,0.013772527462114258,1.0,0.061161888008403636,0.010557398666032891,0.15982104223016894,0.016910323330436978,0.011995264029896953,0.05666651969351847,0.018062490800474697,0.009721938075781715,0.025345692686954975,0.0636813940351768,0.12678347113070698,0.128702414973936,0.02176965689180677,0.0,0.33649655690499847,0.1317321920855806,0.6058823271433696,0.02442082625546202,0.02469162944293887,0.05957875414649468,0.03200431930474199,0.14542942173956813,0.07529265906719072,0.02153996670600345,0.2639192324115726,0.05667435378211421,0.034605158468752645,0.0363034703976386,0.08993313859135732,0.16656231370609773,0.02493070070102498,0.06486475544940261
Complejos Procesadores de Gas (6)  (MM$),0.01317781532240182,0.03209119022961316,0.011949653066365945,0.23669159858401687,0.01167299439796832,0.03150965660313983,0.017257921710102278,0.00896085514241777,0.012778831025760455,0.28214942389221165,0.014049606010599947,0.012062249220981284,0.10248701775811592,0.026027249088505063,0.01519397291074114,0.020557570966201675,0.11749144168516637,0.014617775188751604,0.0074365449834749775,0.008271623203968192,0.11299479942860349,0.08043955570704217,0.0402543540622111,0.28260350744269486,0.041750582293238116,0.030141970523842158,0.17715810286528713,0.03299705272474112,0.024211258359317152,0.04383598145265495,0.10355160889677356,0.054231329329143575,0.017219501471948756,0.007733574090106359,0.4608828460730606,0.0,0.3007884163585142,0.0460948554116857,0.018038938299325038,0.025801265984773135,0.032494502937693306,0.08182819007588338,0.12836912976916998,0.09933494208441807,0.03838418717042082,0.06399299434345761,0.07353396919299113,0.08491544486647634,0.07885472588169085,0.2517484962529812,0.46390669473883883,0.06583716678964789,0.19743725225984443
Exportación neta de hidrocarburos líquidos (volumen),0.014966101611955053,0.020803902419409406,0.037085504259088235,0.05907391703412308,0.01691440352330198,0.027662313520628548,0.02256539411095102,0.015238044084312424,0.07346609186664292,0.13282725739779996,0.07282112937339436,0.03285685436727937,0.1208137084760812,0.07825357086406655,0.09054554414569681,0.018339050834319026,0.15851628203664356,0.029857138259083614,0.008665115191313353,0.011410682248181885,0.08837604970021251,0.04741835603013256,0.019748474607615286,0.01216217927611296,0.019177952595002976,0.013843917141745285,0.18764633847180506,0.05918613715710639,0.042955974644131215,0.03328683415657571,0.11136717687845085,0.08083824616974829,0.004320446754304154,0.005086081823494361,0.04270747085308641,0.06112093325682004,0.0,0.5742625694984876,0.03455575448327967,0.17638607201073425,0.023210778225715285,0.10849928044582982,0.1528996340955073,0.015876798010407738,0.05718127226540592,0.10038787100166391,0.03477789885594865,0.00691923056782834,0.006186354267700922,0.017155677337277703,0.01704718046711426,0.03249096171708343,0.15100933289693866
Exportación de petróleo crudo (volumen),0.05992632216942927,0.025986815115858496,0.07125151707227012,0.4227654826979978,0.17103078661131516,0.037920946273356175,0.1027679373874033,0.0999008747921657,0.006822223942591772,0.11935034706328183,0.007455559378494617,0.007810478878214604,0.21766985006518733,0.01822094330170595,0.008020839710332628,0.02369261068694481,0.3742697419391636,0.025829958520876734,0.023055085964112234,0.019765415331842683,0.13285802040370454,0.05801701249502667,0.003520331430001838,0.023651661070769953,0.004469587186005719,0.003744152690941189,0.1546725565902726,0.021778524102171574,0.004582790106744944,0.02951999408714213,0.054875848803283674,0.015828062323949607,0.007517229483539536,0.008415480372955381,0.0675638727482167,0.0256528705937744,0.6204194324171549,0.0,0.15374529918346877,0.08652946356335096,0.033610702741857054,0.15724044181274716,0.4231301048852275,0.06843239513912915,0.018014358278103906,0.020363116123597317,0.08544549250781237,0.005112931668647512,0.005022529677060275,0.012263660312460414,0.015667557086892128,0.010085716507285037,0.0282235611248175
Exportaciones Petrolíferos y gas licuado (volumen),0.005782594960462526,0.014068586554264,0.025887415287106186,0.04765211186856141,0.17902510416308753,0.1323922133463104,0.021316840155397403,0.23402243826754673,0.005747386572340797,0.10072373049093533,0.010066872107074189,0.01976949671147836,0.055521179508704936,0.011588069350297242,0.006690973046245602,0.04400517130508062,0.07594228795806865,0.09783819404656774,0.038364023518572696,0.027348765567999683,0.19245116735536302,0.06319750027946677,0.002714756734308999,0.02104185275279119,0.005592646029963209,0.0037432408450478478,0.1592944532979755,0.011811423827537975,0.005582232796950526,0.05467690777221793,0.1070125199568963,0.01854354424808017,0.006680827984596716,0.008521540965715396,0.03442991383584988,0.016907333188790747,0.12047813675771393,0.0853422838340703,0.0,0.08966766342537762,0.10453356335372752,0.13444000872821338,0.05131727898508183,1.0,0.008979601801269188,0.02062868840404056,0.06326179636640968,0.00496138346857928,0.003974906842760224,0.016191951218521898,0.024297175883019318,0.033241581822010986,0.024949822271907184
Importaciones Petrolíferos y gas licuado (volumen),0.026615410172527672,0.016283180540026816,0.08052728437516389,0.08567444285140803,0.03141336418478929,0.14757396356133537,0.047590657483076414,0.025690107191675405,0.20320980968055094,0.3457096457808443,0.19888479997300487,0.301557771380821,0.13164953314176828,0.04660531418058102,0.19805785073818302,0.04079010239024986,0.16544600226822676,0.3056528539921128,0.10251806949466782,0.12947294689458444,0.10240509248845547,0.1659194915307244,0.008407600676058507,0.0154825834181832,0.007591535642690701,0.011449105987744256,0.057059805734429814,0.026845976628103712,0.028936794513109886,0.07894689947803724,0.0854735624031373,0.15842870398555137,0.01910441975905136,0.0428619253716824,0.027127582203591634,0.0280188093279976,0.4330988281263874,1.0,0.04968529648723608,0.0,0.14032058279824194,0.43650935828941256,0.19204881199231627,0.02543126123275949,0.5427181911778706,0.19138327157537557,0.02464618482156519,0.005000626308954174,0.004872400207905133,0.010569962192452518,0.029888401505708793,0.02769472998081042,0.3170053726919492
Exportación neta de gas natural (MMpcd) (volumen),0.10189656790491007,0.09098504088028972,0.06660993077018293,0.09187831005245309,0.02142313208016417,0.09202343406915958,0.03873206071243052,0.024636884888774583,0.04442142157022381,0.25331615827688825,0.04781205360984185,0.04257935857182311,0.095172125716859,0.017301076064277127,0.01504683784337349,0.29478849399934626,0.14986423901083074,0.8317984937272014,0.10228278129839279,0.08577260367059536,0.6617285785474913,0.08102805716541558,0.010690617301541394,0.01897645530124004,0.012777637333786607,0.008502938440742066,0.09114511146047687,0.19228134469602107,0.03180207083140403,0.18126271116519943,0.05374712773235027,0.05847439689897003,0.01896716907477437,0.0216071798270692,0.13283791295860364,0.037128465919426666,0.17611047513772174,0.09636464629324594,0.07265589492097554,0.05859974758593986,0.0,0.13595632742383768,0.09358974612585601,0.1117313038373544,0.03354586551045746,0.18924100209165576,1.0,0.03508650060092945,0.038184698370696754,0.06723680750605177,0.012002687012410897,0.5275824566848245,0.04010359867087181
Importaciones Petroquímicos (Mt) (volumen),0.04675226776017373,0.024199873286316696,0.05233553902383936,0.6890426923346485,0.026742826481952704,0.0995789995788767,0.037404831937323246,0.025093873978290396,0.01031227787080274,0.7563999141942116,0.019001281887045432,0.026975171717789615,0.3200707438322631,0.010583926909487631,0.010842251882322367,0.020277902169167077,0.25715414401406805,0.10022724301663784,0.1048344180808917,0.11641829623770587,0.09870955646020659,0.17896279809531776,0.0075382614937857025,0.014976546566476318,0.012646062769246949,0.010628437619403987,0.3188771732287844,0.014211158123074191,0.00638878501634452,0.030792668738353766,0.059413397893297526,0.03354238945239625,0.04267253085810382,0.11600289383075185,0.03242608533492148,0.048468471810598796,0.216284889755634,0.7934928819031725,0.032884959758230185,0.12737748115964384,0.041419372179779965,0.0,0.1784560835087284,0.03896207266096244,0.026669598151207497,0.031713951603579295,0.29294338692107047,0.005491036049105033,0.004702606546784114,0.012918889217049175,0.021949652784163408,0.018247922583417602,0.03447825662696765
Exportación de petróleo crudo (MMUS$),0.07529991383367139,0.18197100331224242,0.022780217815136648,0.05416688093223128,0.032898435090103595,0.03525718750672235,0.01821198829945695,0.0218393119002746,0.011081717761684987,0.36037128911756655,0.010223684449531293,0.011196845165975041,0.5546421669711,0.04002868892974508,0.011573852730857148,0.04629217815650066,0.2100868661191355,0.03693120875774941,0.009388613422301831,0.009793640497197829,0.10795373088799794,0.04224137194067419,0.056574625573740114,0.031221964892423983,0.06841376039351241,0.05945257918081799,0.14204983667925897,0.04744229996912759,0.04031428731722708,0.047646977931424424,0.04250898202389331,0.045093164423954474,0.022675635052643073,0.011291237150724111,0.10940627962951087,0.0700801046930687,0.41332003568664843,0.1659301301683614,0.025704879359517825,0.04549170161939082,0.040147234950735855,0.044994279097227134,0.0,0.0383628849090871,0.16289087236771954,0.028949357267114725,0.20634067761667726,0.11666906298037853,0.14439536374055062,0.16100053773881268,0.03137771339765751,0.14965624596112095,0.07363008274183426
Exportaciones Petrolíferos y gas licuado (MMUS$),0.008734721630812835,0.044641705576773695,0.18275304064208348,0.058417744329672824,0.275170830298996,0.042206176512471834,0.11113388944452926,0.31350412919115433,0.008399224539250657,0.21125514221117828,0.010423305830976582,0.01523099382814203,0.10233214553279259,0.02511197094949963,0.0058018866421009245,0.027261238599953497,0.10421866798789897,0.027440721050520006,0.011598492083026362,0.009189558087388616,0.1647255816972305,0.11227781409192941,0.027416060095587894,0.16651918338487773,0.0386488348291622,0.02743467775242577,0.9672726730438547,0.08395271267185511,0.013718160682505002,0.029494930103439572,0.1621339005513333,0.018069222088707322,0.004935789687663027,0.006323728624085289,0.06885431477503139,0.12372736007473145,0.0866163832347901,0.062417368634939456,1.0,0.02452987623369293,0.34244022544206726,0.055568864152382165,0.10581211985888589,0.0,0.01758431630475031,0.021233762680814557,0.11230763676798845,0.2554150941478449,0.22263759020122437,0.3271566975797703,0.3450657962538907,0.4539553677575376,0.03748817535586303
Importaciones Petrolíferos y gas licuado (MMUS$),0.09608826029602013,0.17352824113478685,0.013817401566303131,0.07843884206181691,0.011789410808771559,0.04748978873447092,0.023116612700894372,0.008531022404009136,0.21253985893187555,0.5026440886185181,0.1438637389533202,0.2389451453752551,0.3578225336197646,0.454540634281219,0.32284224806012246,0.0496694888020911,0.13042375422614655,0.021256638916590184,0.00612428398323973,0.008683724202375061,0.09507863907079317,0.03082209137719307,0.2647120345801073,0.012751623075587241,0.20360120717920951,0.28097019130869205,0.08625848473368186,0.2628710116548466,0.520427407540176,0.06721050178110718,0.26155756365553906,0.14546239687726245,0.008073197261901817,0.007650204986699596,0.03576495298122363,0.03749491589430821,0.3860136793659017,0.1774376344256048,0.021164995728902243,0.7531420016596483,0.13118230902391753,0.06466235740082404,0.8339297649961368,0.01940153882315044,0.0,0.15193458407373123,0.05867437981395472,0.04437471316725551,0.04671234401182129,0.038005601163310344,0.017208651602358006,0.23052256955306089,0.25825423009711146
Exportación neta de gas natural (Mmpcd) (MMUS$),0.049519688778856326,0.044660186631316746,0.019402654359201264,0.25543312918080546,0.012248118444593004,0.043141588247021814,0.02662015146987124,0.012984739393276955,0.018504024967055246,0.11678490175080215,0.01917275393387901,0.011666261935606128,0.09447420981151389,0.022931694236334992,0.03144569505577619,0.03386387570958004,0.40813036486372334,0.14182591563244595,0.03229492770980837,0.024022760579260418,0.2512088157488741,0.03187217661208834,0.006612145519947067,0.12007341894392133,0.010753644214044168,0.007567903471694183,0.10335827990124938,0.015212817830827022,0.0064163602818873185,0.018791448967320747,0.03722987315927035,1.0,0.15529871364967213,0.06489678363804982,1.0,0.19596261139776627,0.13842944534329452,0.05784429267595335,0.03202627235115586,0.047718139252156164,0.35033968157561635,0.03695548356964485,0.10133763219552601,0.03427187265839402,0.018561178763653905,0.0,0.03667634450786675,0.015982723781370726,0.016431475462511835,0.04017394001169306,0.14187659853659743,0.057997652041510375,0.8047835375912317
Importaciones Petroquímicos (Mt) (MMUS$),0.09748299832348165,0.10190455455424025,0.03939335482093642,1.0,0.03320381940682597,0.052025285328708114,0.024503322947842184,0.024373708203750042,0.007225454898976738,0.45793410675034896,0.008448437060320913,0.003695080573185735,0.4304844704572036,0.018239333785592077,0.006108008950052513,0.023894893149232724,0.2785013721582514,0.14524649581062965,0.014723115562065464,0.01903680307007705,0.1328952691845874,0.062426698463316756,0.005533730967831688,0.03556996398323473,0.007748374091777226,0.0067880697145865955,0.11589690871355704,0.07700579961736714,0.013625885957412853,0.027648685608703046,0.04554120530301673,0.015161238840817399,0.011893981863420677,0.021985201065378806,0.06905117475392296,0.0690080465146708,0.5139688333583139,0.17629686831436145,0.035381578479910074,0.023029075626179753,0.8501984060716166,0.43196055313247345,0.5612227358486814,0.04644758107148414,0.020467796305662388,0.021366969927779447,0.0,0.024747763159529007,0.02631098804117123,0.023800158574913233,0.025581044927926695,0.10797214039032206,0.06972188350993636
Petróleo crudo (8) (US$/b),0.015951139600913072,0.11012255950463874,0.05019496300415514,0.04164855929675635,0.030067674386915776,0.04091539043730042,0.06811226545342762,0.0386985455621421,0.014954874400111761,0.1865037686584515,0.013010931671451625,0.012640759654944232,0.18632219505738742,0.062298242537039965,0.009836904418153592,0.02984662793231234,0.0757418837516922,0.02148123611151184,0.009369106056049648,0.009766812099731511,0.5189830805357992,0.09217087798991884,0.12287402336926616,0.11885244147591173,0.14793135151968229,0.10618977169274088,0.37949782097552975,0.11774551934890544,0.0860427768502835,0.05883320488343635,0.1628978389644804,0.026890533997496628,0.005429916296384524,0.0056554386948537965,0.06341144443291044,0.21713272851380633,0.07061310512187849,0.053167280163318356,0.04518591187142532,0.026996014866713196,0.1774325787564301,0.025967570115678684,0.7974038111275864,0.4542753598977004,0.10875942009453166,0.023753190647981377,0.17492685378161857,0.0,1.0,0.9911916301642779,0.17786978890815897,1.0,0.12067175844046359
