Petróleos Mexicanos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estadísticas operativas seleccionadas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(miles de barriles diarios),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OBSERVADO-MENSUAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ene/2018,Feb/2018,Mar/2018,Abr/2018,May/2018,Jun/2018,Jul/2018,Ago/2018,Sep/2018,Oct/2018,Nov/2018,Dic/2018,Ene/2019,Feb/2019,Mar/2019,Abr/2019,May/2019,Jun/2019,Jul/2019,Ago/2019,Sep/2019,Oct/2019,Nov/2019,Dic/2019,Ene/2020,Feb/2020,Mar/2020,Abr/2020,May/2020,Jun/2020,Jul/2020,Ago/2020,Sep/2020,Oct/2020,Nov/2020,Dic/2020,Ene/2021,Feb/2021,Mar/2021,Abr/2021,May/2021,Jun/2021,Jul/2021,Ago/2021,Sep/2021,Oct/2021,Nov/2021,Dic/2021,Ene/2022,Feb/2022,Mar/2022,Abr/2022,May/2022,Jun/2022,Jul/2022,Ago/2022,Sep/2022,Oct/2022,Nov/2022,Dic/2022,Ene/2023,Feb/2023,Mar/2023,Abr/2023,May/2023,Jun/2023,Jul/2023,Ago/2023,Sep/2023,Oct/2023,Nov/2023,Dic/2023,Ene/2024,Feb/2024,Mar/2024,Abr/2024,May/2024,Jun/2024,Jul/2024,Ago/2024,Sep/2024,Oct/2024,Nov/2024,Dic/2024,Ene/2025,Feb/2025,Mar/2025,Abr/2025,May/2025,Jun/2025,Jul/2025
Producción,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Hidrocarburos líquidos,2189.638883,2151.658765,2113.833075,2146.822741,2111.741956,2092.621869,2089.889237,2054.8371079999997,2063.77955,1988.474119,1931.029976,1927.593016,1858.841383,1942.857209,1934.442599,1915.076268,1903.837379,1909.1117640000002,1900.806497,1926.098607,1954.096923,1899.933621,1936.125303,1954.0325129999999,1974.1602800000003,1976.151021,1991.8785579999999,1954.5811689999998,1884.6972059999998,1866.8172979999997,1853.572686,1902.109795,1904.320066,1869.093017,1869.7700579999998,1895.261805,1884.9602399999999,1910.920533,1931.518188,1925.952885,1932.87812,1938.5835579999998,1944.326213,1887.667571,1926.075399,1935.3057840000004,1952.577552,1933.616658,1958.8745560000002,1925.101905,1954.90248,1922.2757589999999,1926.450797,1927.506874,1949.0969380000001,1950.183473,1949.548595,1951.365853,1957.807557,1949.610031,2040.63666,2033.253757,2046.219323,2082.283564,2080.826868,2066.2202389999998,2008.741706,2025.571363,2039.6721510000002,2023.367949,2024.850677,2010.379242,1983.22405,1974.1856149999999,1965.38944,1932.6079340000001,1927.834473,1923.267809,1928.407344,1924.4445859999998,1900.168057,1857.148719,1821.962008,1766.03207,1757.77338,1766.906675,1740.855082,1749.440339,1740.9259610000001,1747.163037,N/D
                    Petróleo crudo,1932.138755,1897.854808,1866.800446,1888.284508,1869.83852,1848.281933,1842.677456,1818.463822,1826.974557,1766.987331,1716.910926,1728.8750970000003,1641.514202,1721.767474,1709.954366,1694.374936,1682.542114,1692.131935,1696.555315,1707.656999,1730.346637,1680.752768,1721.728191,1732.24731,1748.840721,1754.622363,1771.341819,1746.743329,1676.61071,1654.733064,1647.332173,1687.866409,1697.837757,1680.210948,1688.845791,1711.492242,1712.650383,1731.804704,1758.926608,1751.265001,1755.117927,1767.527003,1772.336593,1728.773343,1782.402352,1771.125788,1771.410008,1772.710856,1783.022924,1763.607534,1777.266972,1766.812884,1775.3458239999998,1787.224614,1796.506904,1779.753338,1776.757349,1790.763817,1798.17319,1817.4460219999999,1870.246985,1869.243451,1878.209675,1904.166328,1904.42361,1898.692959,1855.239107,1878.519029,1879.248837,1863.001164,1857.245056,1846.959764,1829.318941,1819.398332,1810.523763,1784.129467,1785.295128,1781.529974,1772.174797,1769.592438,1748.997757,1717.852268,1673.3818080000003,1618.689272,1616.929748,1620.5378240000002,1607.164663,1627.346338,1635.611417,1629.144172,N/D
                    Condensados y líquidos del gas,257.500128,253.803957,247.03262900000001,258.538233,241.903436,244.339936,247.211781,236.37328599999998,236.804993,221.486788,214.11905,198.717919,217.327181,221.08973500000002,224.488233,220.701332,221.295265,216.979829,204.251182,218.44160799999997,223.750286,219.180853,214.39711200000002,221.785203,225.319559,221.52865799999998,220.536739,207.83784,208.086496,212.08423399999998,206.24051300000002,214.24338600000002,206.48230900000001,188.882069,180.924267,183.769563,172.309857,179.115829,172.59158,174.687884,177.760193,171.056555,171.98962,158.894228,143.67304699999997,164.17999600000002,181.167544,160.905802,175.851632,161.494371,177.63550800000002,155.462875,151.104973,140.28226,152.590034,170.430135,172.79124600000003,160.602036,159.634367,132.164009,170.389675,164.01030599999999,168.009648,178.11723600000002,176.403258,167.52728,153.502599,147.052334,160.423314,160.366785,167.60562099999999,163.419478,153.905109,154.78728299999997,154.865677,148.47846700000002,142.539345,141.737835,156.232547,154.852148,151.17030000000003,139.296451,148.5802,147.342798,140.843632,146.368851,133.690419,122.094001,105.314544,118.018865,N/D
        Gas natural  (MMpcd),4910.0641909999995,4852.609001,4645.570734,4868.900388,4827.468844,4840.414525,4855.875792,4897.558844,4913.11296,4895.254467000001,4776.133946,4880.600004999999,4648.323727,4869.145045,4856.64494,4816.265564,4840.677797,4842.747777,4891.880071,4938.778443,5016.628422,4970.743767,5014.952562,5024.4795380000005,5004.855107,4941.777495,4946.3341709999995,4826.709719,4459.815731,4753.708473000001,4902.355742000001,4919.639354,4926.075173,4928.144902,4768.613979,4845.7927,4848.055541,4854.306415999999,4839.141170999999,4670.981598,4730.289952,4726.737503,4724.7128410000005,4656.476412,4746.475235,4718.116237,4751.223393000001,4697.060829,4712.86373,4646.317988,4766.219689,4739.866774,4701.527941,4743.951115,4815.415043,4795.569214,4798.226799,4795.026692,4844.875543,4844.545684,4955.215198,4979.437938,5034.674229,5094.967537,5034.39186,5034.982504,4935.871383,4946.940527000001,4969.179601,4950.140051,4887.590676000001,4786.210503,4779.868326,4777.121571,4768.333264,4500.279884,4487.791093,4606.010923,4566.234141,4533.819309,4515.048031,4503.443911,4431.546205,4400.263263000001,4367.58217,4424.960548,4434.085669,4499.75917,4543.34856,4549.587287,N/D
        Petrolíferos y gas licuado (1),728.0368746924236,643.8426822114858,793.5305293203717,937.5994930179514,877.2360628244896,778.482552952374,760.9858522235829,788.1554620095783,732.8561460808684,598.0448024545658,627.869630819628,614.9567251311381,610.6633383936098,716.271665,704.4596723269154,717.7619224586967,753.7585419999999,786.0011519999999,786.0429819999999,809.0147949999999,756.3699580000001,667.2319739999999,689.820462,714.7811640000001,684.380372,575.226748,709.1330750000001,770.742698,778.654857,745.906948,571.10684,661.960809,752.1783969999999,679.926027,609.006954,755.122739,806.4898709999999,813.270517,931.2128299999999,719.157745,787.575498,730.825069,741.637241,790.230204,856.1889320000001,838.163739,844.662885,812.768824,911.022205,968.2581700000001,941.457437,997.1493649999999,932.647616,728.790392,901.14717,909.0552359999999,875.3061,934.875368,1000.578618,883.0814819999999,972.536254,894.955925964218,973.3482434188909,1030.5884921991806,903.0991633809649,872.2474289658089,907.2674217410906,891.3400504185321,826.5203543324858,683.0911934184313,844.1569943325924,959.4869199346556,1084.712294224976,1043.8501528265247,1185.2633464183236,1018.9739208115694,906.5179005479864,983.2820249322914,1070.3199278053135,1031.5373058698442,984.2089197655555,864.2145333859369,817.8186888321836,967.8986813860664,975.2093954505001,994.8550537848613,1034.7396308331408,1032.7056637414441,1014.6253032247134,1144.8228406655492,0.0
        Petroquímicos (Mt) (2),488.90161411,428.305416616,503.61959974,541.3807758600001,586.752729214,462.4202094,590.868740419,524.138680284,482.62478598,497.37994463300004,472.27458555000004,407.10066167900004,461.998300132,420.252630644,498.72741602200006,411.4423623,513.9206614430001,483.40075065,502.994781472,466.807450319,489.88919997000005,446.74975709700004,339.08179776,473.29487646,482.346755593,505.95764350900004,448.979946783,445.11851237999997,328.388793177,282.58805192,310.604052875,271.943232315,297.16311667,336.207230775,318.65841209,332.70832429800004,317.689796327,318.61189770799996,385.971960007,359.95551140000003,350.846513177,219.33991373,306.784645723,403.522392482,370.30305786,425.000483421,419.50753067,220.044563195,247.65446076700002,341.674169848,408.829460178,336.84640626000004,313.31083286,246.78218868,359.49045112500005,358.36449010900003,278.64789351999997,355.50403671199996,359.09651457,199.544344621,371.070383234,265.52157721199995,308.797306749,373.66272174,299.307577154,286.07466123000006,302.185504407,237.614983247,220.58143338,256.468808888,254.03131507,281.241454297,277.649685191,273.979441878,384.009970408,321.76103178000005,278.42534525,288.11277543,311.586294058,306.970307938,289.72533238,298.109290669,298.99055043,338.23517987400004,355.57087578100004,329.9130522,350.482987575,327.10036779,247.67215020199998,335.04604371,N/D
